ID,Active,Name,Categories,Reference,Description short,Description,Image URLs,Meta title,Meta description,Available for order,Show price
1,1,"Wireless Bluetooth Headphones","Home>Electronics>Audio & Headphones",WBH-001,"Premium wireless headphones with noise cancellation","High-quality wireless Bluetooth headphones featuring active noise cancellation, 30-hour battery life, premium sound quality, and comfortable over-ear design. Perfect for music lovers and professionals.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Headphones","Wireless Bluetooth Headphones | Premium Audio","Shop premium wireless headphones with active noise cancellation and long battery life",0,0
2,1,"Smart Fitness Watch","Home>Electronics>Wearables",SFW-001,"Advanced smartwatch with fitness tracking","Modern smartwatch with heart rate monitor, GPS tracking, sleep analysis, and smartphone notifications. Water-resistant design with 7-day battery life. Compatible with iOS and Android.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Smart+Watch","Smart Fitness Watch | Health Tracker","Discover our smart fitness watch with advanced health monitoring",0,0
3,1,"Professional Laptop Backpack","Home>Fashion & Apparel>Bags & Accessories",PLB-001,"Durable laptop backpack for professionals","Spacious backpack with padded laptop compartment (up to 17 inch), multiple organizational pockets, USB charging port, and water-resistant material. Perfect for work and travel.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Backpack","Laptop Backpack Professional | Travel Bag","Quality professional laptop backpack for work and travel",0,0
4,1,"Minimalist Desk Lamp","Home>Home & Garden>Lighting",MDL-001,"Modern LED desk lamp with adjustable brightness","Sleek minimalist desk lamp featuring LED technology, adjustable brightness levels, USB charging port, and flexible arm. Energy-efficient and perfect for any workspace.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Desk+Lamp","Minimalist LED Desk Lamp | Modern Lighting","Modern minimalist desk lamp with LED and adjustable brightness",0,0
5,1,"Yoga Mat Premium","Home>Sports & Outdoors>Yoga & Pilates",YMP-001,"Extra thick non-slip yoga mat","Premium quality yoga mat with extra thickness (6mm), non-slip surface, and eco-friendly materials. Includes carrying strap. Perfect for yoga, pilates, and general fitness.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Yoga+Mat","Premium Yoga Mat | Non-Slip Fitness Mat","High-quality non-slip yoga mat for yoga and fitness exercises",0,0
6,1,"Stainless Steel Water Bottle","Home>Sports & Outdoors>Accessories",SSWB-001,"Insulated water bottle keeps drinks cold/hot","Double-wall insulated stainless steel water bottle. Keeps drinks cold for 24 hours, hot for 12 hours. BPA-free, leak-proof design. 750ml capacity.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Water+Bottle","Stainless Steel Water Bottle | Insulated","Premium insulated water bottle keeps drinks cold or hot",0,0
7,1,"Wireless Charging Pad","Home>Electronics>Accessories",WCP-001,"Fast wireless charger for smartphones","Universal wireless charging pad with fast charging support. Compatible with all Qi-enabled devices. Sleek design with LED indicator. Includes USB cable.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Wireless+Charger","Wireless Charging Pad | Fast Charger","Fast wireless charging pad for Qi-enabled smartphones",0,0
8,1,"Ergonomic Office Chair","Home>Home & Garden>Furniture",EOC-001,"Comfortable ergonomic chair for long work hours","Premium ergonomic office chair with lumbar support, adjustable height and armrests, breathable mesh back, and smooth-rolling casters. Perfect for home or office use.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Office+Chair","Ergonomic Office Chair | Comfortable Seating","Comfortable ergonomic office chair with lumbar support",0,0
9,1,"Portable Bluetooth Speaker","Home>Electronics>Audio & Headphones",PBS-001,"Waterproof portable speaker with powerful sound","Compact Bluetooth speaker with 360-degree sound, waterproof design (IPX7), 12-hour battery life. Perfect for outdoor activities and travel.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Speaker","Portable Bluetooth Speaker | Waterproof","Waterproof portable Bluetooth speaker with powerful sound",0,0
10,1,"Digital Kitchen Scale","Home>Home & Garden>Kitchen & Dining",DKS-001,"Precise digital scale for cooking and baking","Accurate digital kitchen scale with LCD display, measures up to 5kg, tare function, and multiple units (g, oz, lb). Slim design with easy-to-clean surface.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Kitchen+Scale","Digital Kitchen Scale | Precise Cooking","Accurate digital kitchen scale for precise cooking measurements",0,0
11,1,"Running Shoes Men","Home>Fashion & Apparel>Shoes",RSM-001,"Lightweight running shoes with cushioned sole","Professional running shoes with breathable mesh upper, cushioned midsole, and durable rubber outsole. Perfect for daily training and marathons.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Running+Shoes","Men's Running Shoes | Athletic Footwear","Lightweight cushioned running shoes for men",0,0
12,1,"Ceramic Coffee Mug Set","Home>Home & Garden>Kitchen & Dining",CCMS-001,"Set of 4 minimalist ceramic coffee mugs","Beautiful set of 4 ceramic coffee mugs with minimalist design. Microwave and dishwasher safe. 350ml capacity each. Perfect for coffee, tea, or hot chocolate.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Coffee+Mugs","Ceramic Coffee Mug Set | Minimalist Design","Set of 4 minimalist ceramic coffee mugs",0,0
13,1,"Mechanical Keyboard","Home>Electronics>Computer Components",MK-001,"Gaming mechanical keyboard with RGB lighting","Professional mechanical keyboard with tactile switches, customizable RGB backlighting, and durable construction. Perfect for gaming and typing.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Keyboard","Mechanical Gaming Keyboard | RGB Backlit","RGB mechanical keyboard perfect for gaming",0,0
14,1,"Indoor Plant Pot Set","Home>Home & Garden>Home Decor",IPPS-001,"Set of 3 modern ceramic plant pots","Stylish set of 3 ceramic plant pots with drainage holes and saucers. Minimalist design perfect for succulents, herbs, or small plants. Includes different sizes.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Plant+Pots","Ceramic Plant Pot Set | Indoor Planters","Modern ceramic plant pot set for indoor plants",0,0
15,1,"Cotton Bath Towel Set","Home>Home & Garden>Bedding & Bath",CBTS-001,"Luxury cotton towel set ultra-absorbent","Premium 100% cotton bath towel set. Ultra-absorbent, quick-drying, and soft. Set includes 2 bath towels, 2 hand towels, and 2 face towels. Available in multiple colors.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Towel+Set","Cotton Bath Towel Set | Luxury Towels","Premium ultra-absorbent cotton bath towel set",0,0
16,1,"Notebook Journal Set","Home>Office & Stationery>Paper Products",NJS-001,"Pack of 3 lined notebooks for writing","High-quality lined notebooks with durable covers. 192 pages per notebook. Perfect for journaling, note-taking, or sketching. Lay-flat binding.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Notebooks","Lined Notebook Journal Set | Quality Paper","Pack of 3 quality lined notebooks for writing",0,0
17,1,"LED Mirror Round","Home>Home & Garden>Home Decor",LMR-001,"Round wall mirror with LED lighting","Modern round wall mirror with built-in LED lighting. Dimmable light, touch control, and anti-fog function. Perfect for bathroom or bedroom. 60cm diameter.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=LED+Mirror","LED Wall Mirror Round | Illuminated","Round wall mirror with dimmable LED lighting",0,0
18,1,"Resistance Bands Set","Home>Sports & Outdoors>Fitness Equipment",RBS-001,"Exercise resistance bands set of 5","Complete set of 5 resistance bands with different resistance levels. Includes door anchor, handles, and carrying bag. Perfect for home workouts and physical therapy.","https://via.placeholder.com/800x800/000000/FFFFFF/?text=Resistance+Bands","Resistance Bands Set | Home Workout","Set of 5 exercise resistance bands for home fitness",0,0
